:START_ID(Customer),:END_ID(Review),:TYPE
TE207,1129,WROTE
CS287,447,WROTE
KM929,731,WROTE
BP732,890,WROTE
XO649,1056,WROTE
EU335,1249,WROTE
XN875,254,WROTE
BF338,436,WROTE
AY876,741,WROTE
RG743,156,WROTE
BW289,540,WROTE
MA264,1036,WROTE
GC890,198,WROTE
EA575,452,WROTE
EM821,752,WROTE
WW556,758,WROTE
EK253,1003,WROTE
CS287,1033,WROTE
QU287,12,WROTE
GC890,957,WROTE
DH200,1124,WROTE
GR729,617,WROTE
AY876,1078,WROTE
WB209,1086,WROTE
JT617,1191,WROTE
ZU351,155,WROTE
DX151,159,WROTE
VQ233,906,WROTE
CM245,1207,WROTE
GA851,1251,WROTE
AY876,97,WROTE
YR398,632,WROTE
MJ814,813,WROTE
AW347,1169,WROTE
EB652,275,WROTE
GC890,435,WROTE
MR129,545,WROTE
FN522,1268,WROTE
LU518,334,WROTE
CS287,542,WROTE
WB890,874,WROTE
GC846,456,WROTE
FA862,481,WROTE
BF338,683,WROTE
BP732,676,WROTE
EK253,100,WROTE
OA831,535,WROTE
GR625,557,WROTE
FA862,910,WROTE
FN522,93,WROTE
XN875,567,WROTE
ZV584,175,WROTE
CC657,219,WROTE
RY572,256,WROTE
II746,469,WROTE
BI759,290,WROTE
RV310,373,WROTE
XW046,104,WROTE
PL616,285,WROTE
FA862,288,WROTE
BP732,483,WROTE
CA470,513,WROTE
PL616,618,WROTE
QT258,882,WROTE
VC531,1159,WROTE
ZH741,257,WROTE
BF338,797,WROTE
BN418,1031,WROTE
DH200,23,WROTE
VX147,35,WROTE
US056,313,WROTE
CM245,517,WROTE
GL926,605,WROTE
KM929,1052,WROTE
ZU351,1206,WROTE
LU518,604,WROTE
CC657,332,WROTE
CC657,372,WROTE
EM821,660,WROTE
WB209,678,WROTE
KM929,701,WROTE
WB890,788,WROTE
QI779,374,WROTE
GJ116,702,WROTE
RV310,929,WROTE
ZF801,1105,WROTE
FA862,1195,WROTE
DV182,1240,WROTE
RG743,284,WROTE
ZO854,503,WROTE
GC890,421,WROTE
GJ116,434,WROTE
AW347,900,WROTE
